date,state,Total
2023-02,Alabama,37976
2023-02,Alaska,5126
2023-02,Arizona,29958
2023-02,Arkansas,14910
2023-02,California,62576
2023-02,Colorado,34854
2023-02,Connecticut,8875
2023-02,Delaware,3502
2023-02,District of Columbia,328
2023-02,Florida,90999
2023-02,Georgia,32930
2023-02,Hawaii,0
2023-02,Idaho,11318
2023-02,Illinois,39367
2023-02,Indiana,39690
2023-02,Iowa,6158
2023-02,Kansas,14489
2023-02,Kentucky,23256
2023-02,Louisiana,20726
2023-02,Maine,7947
2023-02,Maryland,18637
2023-02,Massachusetts,10078
2023-02,Michigan,43099
2023-02,Minnesota,22241
2023-02,Mississippi,18473
2023-02,Missouri,40332
2023-02,Montana,8708
2023-02,Nebraska,2039
2023-02,Nevada,7898
2023-02,New Hampshire,9787
2023-02,New Jersey,13208
2023-02,New Mexico,12822
2023-02,New York,23118
2023-02,North Carolina,15791
2023-02,North Dakota,4937
2023-02,Ohio,46686
2023-02,Oklahoma,25183
2023-02,Oregon,37564
2023-02,Pennsylvania,68335
2023-02,Rhode Island,2317
2023-02,South Carolina,21534
2023-02,South Dakota,5240
2023-02,Tennessee,50544
2023-02,Texas,101300
2023-02,Utah,9999
2023-02,Vermont,3910
2023-02,Virginia,46154
2023-02,Washington,37808
2023-02,West Virginia,12715
2023-02,Wisconsin,33778
2023-02,Wyoming,4273
2023-01,Alabama,36147
2023-01,Alaska,4675
2023-01,Arizona,28779
2023-01,Arkansas,13664
2023-01,California,61865
2023-01,Colorado,33302
2023-01,Connecticut,10278
2023-01,Delaware,3459
2023-01,District of Columbia,343
2023-01,Florida,89308
2023-01,Georgia,29314
2023-01,Hawaii,0
2023-01,Idaho,10563
2023-01,Illinois,44225
2023-01,Indiana,38389
2023-01,Iowa,5602
2023-01,Kansas,13209
2023-01,Kentucky,20056
2023-01,Louisiana,20146
2023-01,Maine,7273
2023-01,Maryland,18274
2023-01,Massachusetts,10173
2023-01,Michigan,40271
2023-01,Minnesota,19122
2023-01,Mississippi,15594
2023-01,Missouri,37894
2023-01,Montana,7420
2023-01,Nebraska,1933
2023-01,Nevada,7853
2023-01,New Hampshire,9438
2023-01,New Jersey,16605
